extend_cycle_num_num	sample_num	file_name	global_rmsd	chai_score	extend_length
extendlen_38_cycle_4_6_N	1	extendlen_38_cycle_4_6_sample1.cif	0.7652949145885898	0.18671582639217377	38
extendlen_27_cycle_4_6_N	2	extendlen_27_cycle_4_6_sample2.cif	1.906900071334316	0.18457414209842682	27
extendlen_35_cycle_5_4_N	1	extendlen_35_cycle_5_4_sample1.cif	4.170650224841666	0.1681794822216034	35
extendlen_27_cycle_4_5_N	2	extendlen_27_cycle_4_5_sample2.cif	1.9467729145721515	0.17486076056957245	27
extendlen_32_cycle_5_4_N	2	extendlen_32_cycle_5_4_sample2.cif	2.954330576696762	0.1611165553331375	32
extendlen_31_cycle_2_5_N	1	extendlen_31_cycle_2_5_sample1.cif	2.7233180867507985	0.16558824479579926	31
extendlen_30_cycle_2_9_N	2	extendlen_30_cycle_2_9_sample2.cif	2.735525780123766	0.17892491817474365	30
extendlen_25_cycle_4_9_N	1	extendlen_25_cycle_4_9_sample1.cif	4.338810484972537	0.16466709971427917	25
extendlen_28_cycle_1_9_N	2	extendlen_28_cycle_1_9_sample2.cif	0.7019359637995635	0.17722170054912567	28
extendlen_30_cycle_4_5_N	1	extendlen_30_cycle_4_5_sample1.cif	1.7977234609006607	0.1633123755455017	30
extendlen_38_cycle_4_5_N	1	extendlen_38_cycle_4_5_sample1.cif	3.2076756152767323	0.16530148684978485	38
extendlen_30_cycle_3_1_N	1	extendlen_30_cycle_3_1_sample1.cif	3.3282544730465826	0.17285150289535522	30
extendlen_29_cycle_1_0_N	2	extendlen_29_cycle_1_0_sample2.cif	1.7237759131748134	0.17954300343990326	29
extendlen_27_cycle_4_7_N	2	extendlen_27_cycle_4_7_sample2.cif	2.1583300419166793	0.16847185790538788	27
extendlen_29_cycle_1_1_N	1	extendlen_29_cycle_1_1_sample1.cif	2.6846244919021953	0.16813881695270538	29
extendlen_38_cycle_4_6_N	2	extendlen_38_cycle_4_6_sample2.cif	0.8106139552186549	0.1763758659362793	38
extendlen_36_cycle_3_4_N	2	extendlen_36_cycle_3_4_sample2.cif	3.848059967813271	0.17924372851848602	36
extendlen_27_cycle_1_3_N	2	extendlen_27_cycle_1_3_sample2.cif	5.240353375303191	0.17766891419887543	27
extendlen_28_cycle_3_3_N	1	extendlen_28_cycle_3_3_sample1.cif	1.2025498159238401	0.16564738750457764	28
extendlen_26_cycle_3_7_N	2	extendlen_26_cycle_3_7_sample2.cif	0.6974808528893315	0.1755305379629135	26
extendlen_32_cycle_1_8_N	1	extendlen_32_cycle_1_8_sample1.cif	2.7451511298977582	0.16169783473014832	32
extendlen_27_cycle_1_3_N	1	extendlen_27_cycle_1_3_sample1.cif	5.3724276572090455	0.1754949539899826	27
extendlen_27_cycle_4_6_N	1	extendlen_27_cycle_4_6_sample1.cif	1.1480305126763855	0.18385252356529236	27
extendlen_26_cycle_3_6_N	2	extendlen_26_cycle_3_6_sample2.cif	3.8880139732803527	0.16829434037208557	26
extendlen_26_cycle_5_4_N	2	extendlen_26_cycle_5_4_sample2.cif	1.5765997153357334	0.18370839953422546	26
extendlen_25_cycle_5_6_N	2	extendlen_25_cycle_5_6_sample2.cif	5.01170373827121	0.17613065242767334	25
extendlen_27_cycle_5_0_N	2	extendlen_27_cycle_5_0_sample2.cif	0.6979406861496065	0.16790923476219177	27
extendlen_27_cycle_1_5_N	1	extendlen_27_cycle_1_5_sample1.cif	1.488184517123767	0.168961763381958	27
extendlen_27_cycle_3_3_N	1	extendlen_27_cycle_3_3_sample1.cif	2.1960336805960163	0.16785107553005219	27
extendlen_38_cycle_3_8_N	2	extendlen_38_cycle_3_8_sample2.cif	4.031685521479962	0.17534159123897552	38
extendlen_26_cycle_1_6_N	2	extendlen_26_cycle_1_6_sample2.cif	4.508685677988426	0.17268088459968567	26
extendlen_27_cycle_4_2_N	1	extendlen_27_cycle_4_2_sample1.cif	4.120109835741186	0.163155198097229	27
extendlen_28_cycle_1_0_N	1	extendlen_28_cycle_1_0_sample1.cif	4.34885410646175	0.1666928082704544	28
extendlen_35_cycle_5_9_N	1	extendlen_35_cycle_5_9_sample1.cif	5.000533046612225	0.16335418820381165	35
extendlen_29_cycle_1_4_N	1	extendlen_29_cycle_1_4_sample1.cif	5.971236351135651	0.16678012907505035	29
extendlen_29_cycle_1_1_N	2	extendlen_29_cycle_1_1_sample2.cif	3.7837808464997913	0.16138826310634613	29
extendlen_38_cycle_3_8_N	1	extendlen_38_cycle_3_8_sample1.cif	4.173797441380842	0.1684011071920395	38
extendlen_25_cycle_5_9_N	2	extendlen_25_cycle_5_9_sample2.cif	3.8381700754969663	0.172785684466362	25
extendlen_30_cycle_4_4_N	1	extendlen_30_cycle_4_4_sample1.cif	4.407341183918624	0.16271473467350006	30
extendlen_27_cycle_1_5_N	2	extendlen_27_cycle_1_5_sample2.cif	2.018210161138898	0.17509973049163818	27
extendlen_36_cycle_2_4_N	2	extendlen_36_cycle_2_4_sample2.cif	5.381544986505642	0.17308010160923004	36
extendlen_27_cycle_4_2_N	2	extendlen_27_cycle_4_2_sample2.cif	2.835405654256768	0.17999105155467987	27
extendlen_27_cycle_5_0_N	1	extendlen_27_cycle_5_0_sample1.cif	0.9928590323377441	0.16926638782024384	27
extendlen_28_cycle_3_1_N	2	extendlen_28_cycle_3_1_sample2.cif	5.327459463575866	0.17194920778274536	28
